timestamp,round,sync_time_ms
2025-10-17T18:20:42.883169,1,6.73
2025-10-17T18:20:43.904566,2,3.58
2025-10-17T18:20:44.530484,3,5.20
2025-10-17T18:20:46.543876,4,5.05
2025-10-17T18:20:47.398571,5,5.57
2025-10-17T18:20:47.886743,6,4.93
2025-10-17T18:20:48.544832,7,3.12
2025-10-17T18:20:48.698151,8,5.38
2025-10-17T18:20:49.758740,9,4.67
2025-10-17T18:20:50.100392,10,4.52
2025-10-17T18:20:51.124808,11,5.41
2025-10-17T18:20:55.854785,12,3.64
2025-10-17T18:20:57.208826,13,5.41
2025-10-17T18:20:57.545217,14,4.71
2025-10-17T18:20:58.411769,15,5.90
2025-10-17T18:20:58.756795,16,5.29
2025-10-17T18:20:58.969255,17,3.62
2025-10-17T18:21:01.474533,18,5.29
2025-10-17T18:21:02.324997,19,3.54
2025-10-17T18:21:02.880974,20,4.43
2025-10-17T18:21:03.125832,21,5.74
2025-10-17T18:21:04.056975,22,7.78
2025-10-17T18:21:05.328757,23,5.70
2025-10-17T18:21:06.400769,24,5.46
2025-10-17T18:21:08.511784,25,4.94
2025-10-17T18:21:08.777212,26,5.18
2025-10-17T18:21:08.961333,27,4.37
2025-10-17T18:21:09.559946,28,5.03
2025-10-17T18:21:09.585912,29,4.12
2025-10-17T18:21:13.595208,30,6.85
2025-10-17T18:21:14.105626,31,6.39
2025-10-17T18:21:14.838901,32,5.87
2025-10-17T18:21:15.474936,33,6.70
2025-10-17T18:21:16.048851,34,5.91
2025-10-17T18:21:17.160413,35,7.60
2025-10-17T18:21:17.842133,36,8.29
2025-10-17T18:21:20.897398,37,6.43
2025-10-17T18:21:21.452137,38,7.29
2025-10-17T18:21:22.092968,39,7.79
2025-10-17T18:21:22.197180,40,5.87
