metric_name,iteration,difficulty,duration_ns
TransactionValidation,0,2,189.969µs
TransactionValidation,1,2,132.56µs
TransactionValidation,2,2,129.067µs
TransactionValidation,3,2,149.81µs
TransactionValidation,4,2,131.232µs
TransactionValidation,5,2,110.07µs
TransactionValidation,6,2,117.404µs
TransactionValidation,7,2,142.128µs
TransactionValidation,8,2,101.829µs
TransactionValidation,9,2,101.48µs
TransactionValidation,10,2,102.527µs
TransactionValidation,11,2,113.562µs
TransactionValidation,12,2,103.924µs
TransactionValidation,13,2,99.943µs
TransactionValidation,14,2,117.264µs
TransactionValidation,15,2,100.991µs
TransactionValidation,16,2,107.835µs
TransactionValidation,17,2,100.641µs
TransactionValidation,18,2,103.436µs
TransactionValidation,19,2,100.572µs
TransactionValidation,20,2,103.854µs
TransactionValidation,21,2,139.544µs
TransactionValidation,22,2,103.366µs
TransactionValidation,23,2,99.174µs
TransactionValidation,24,2,104.273µs
TransactionValidation,25,2,103.575µs
TransactionValidation,26,2,110.629µs
TransactionValidation,27,2,98.267µs
TransactionValidation,28,2,99.594µs
TransactionValidation,29,2,119.15µs
TransactionValidation,30,2,123.48µs
TransactionValidation,31,2,109.721µs
TransactionValidation,32,2,99.734µs
TransactionValidation,33,2,97.848µs
TransactionValidation,34,2,116.147µs
TransactionValidation,35,2,100.642µs
TransactionValidation,36,2,103.575µs
TransactionValidation,37,2,98.197µs
TransactionValidation,38,2,98.686µs
TransactionValidation,39,2,118.87µs
TransactionValidation,40,2,109.582µs
TransactionValidation,41,2,161.264µs
TransactionValidation,42,2,102.178µs
TransactionValidation,43,2,99.245µs
TransactionValidation,44,2,114.47µs
TransactionValidation,45,2,99.524µs
TransactionValidation,46,2,106.019µs
TransactionValidation,47,2,98.826µs
TransactionValidation,48,2,112.515µs
TransactionValidation,49,2,98.267µs
TransactionValidation,50,2,98.966µs
TransactionValidation,51,2,99.663µs
TransactionValidation,52,2,104.552µs
TransactionValidation,53,2,103.924µs
TransactionValidation,54,2,99.525µs
TransactionValidation,55,2,103.645µs
TransactionValidation,56,2,106.997µs
TransactionValidation,57,2,110.21µs
TransactionValidation,58,2,100.083µs
TransactionValidation,59,2,116.356µs
TransactionValidation,60,2,101.48µs
TransactionValidation,61,2,130.744µs
TransactionValidation,62,2,98.826µs
TransactionValidation,63,2,111.886µs
